1100 14389 109594
0 0 263 72
1 0 249 77
2 0 252 77
20 0 352 137.36
21 0 354.88 135.92
22 0 334.72 135.92
22 0 347.68 135.92
23 0 355 135
23 0 344.8 134.48
24 0 334 135
24 0 345 135
25 0 331 135
26 0 325 134
26 0 329 136
51 0 432 137
52 0 432 144
52 0 431 147
75 0 480 146
76 0 476.4 146
77 0 472.8 144.8
935 0 594 127
0 1 273 54
2 1 262 43
0 2 272 56
1 2 266 52
0 3 272 61
0 4 266 60
1 4 264 59
1 4 263.6 54
1 4 263.6 58.8
2 4 256.4 51.6
0 5 261.2 64.8
1 5 254 64
1 5 258 57
1 5 257.6 62.4
1 5 254 63.6
1 5 257.36 61.92
2 5 246 61
2 5 251 61
2 5 247 65
2 5 250.4 60
3 5 239 63
40 5 384.4 116
0 6 307 72
0 7 283 43
1 7 276 41
0 8 377 74
0 9 375 79
853 9 734 74
853 9 734 66
854 9 738.4 60
854 9 730.96 48.96
857 9 714.4 48
0 10 301.6 68.4
1 10 294.4 67.2
20 10 360.4 136.4
21 10 354.4 135.2
21 10 348.4 136.4
21 10 356.32 129.3
24 10 325.22 129.3
91 10 457 145
0 11 302.8 72
1 11 301 71
0 12 290.8 60
0 13 384.4 57.6
6 13 469.2 69.6
6 13 469.2 67.2
866 13 687 73
867 13 688 70
868 13 691 65
0 14 379.36 61.92
0 15 373.6 63.36
69 15 580 141
860 15 707.92 50.4
861 15 702.4 56.4
863 15 708 48
867 15 695.2 63.6
0 16 297.28 64.8
31 16 388 130.4
31 16 380.8 131.6
0 17 471 78
0 18 475 67
5 18 497 77
5 18 496 69
5 18 504 69
5 18 502.8 68.4
5 18 489.84 54.72
5 18 501.36 56.16
5 18 492.72 57.6
5 18 497.04 61.92
5 18 505 130
5 18 506 127
14 18 544 68
14 18 535 71
14 18 552 71
14 18 540 74
14 18 549 74
17 18 534 119
22 18 555 130
24 18 560 128.72
61 18 593.12 131.6
0 19 439 44
6 19 491 79
6 19 493 70
6 19 496 67
6 19 498 64
6 19 490.8 70.8
6 19 476.4 51.6
14 19 532 64
16 19 548 62.4
18 19 539 123
52 19 588 126
62 19 591.68 130.16
67 19 583 141
0 20 446 66
6 20 499 128
0 21 452.4 66
0 22 446.4 66
0 23 456 70.8
0 24 475.2 67.2
16 24 545.6 130.16
24 24 553 126
0 25 450 54
1 25 448.8 70.8
6 25 491 76
6 25 476 54
6 25 474 53.28
6 25 489.84 56.16
6 25 488.4 63.36
6 25 500.4 125.6
15 25 542 63.6
25 25 552 126
26 25 565.76 131.6
0 26 668 66
1 26 669 62
1 26 671 62
0 27 676 54
1 27 678 45
1 27 676 53
1 27 676 55.2
1 27 676 52.8
2 27 677.2 52.8
2 27 677.68 50.4
10 27 665 67
10 27 673.94 55.296
17 27 668.8 69.6
83 27 698.8 72
890 27 745 57
891 27 752 47
0 28 671 54
1 28 671.2 51.6
2 28 671 54
2 28 669.04 57.6
3 28 674 55
3 28 669.04 59.04
3 28 664.72 61.92
4 28 670 54
4 28 675 53
4 28 669.04 57.6
5 28 666.16 57.6
0 29 664 74
1 29 664 73
77 29 652 126.8
84 29 664 116
166 29 621.92 133.04
0 30 661 73
3 30 661 75
3 30 658 79
4 30 662 73
4 30 666.4 69.6
6 30 671.2 49.2
66 30 624.8 122
66 30 650.8 135.2
67 30 652 136.4
67 30 649.6 126.8
69 30 653.2 130.4
69 30 650.8 122
70 30 632 122
71 30 629.6 123.2
72 30 682 112.4
94 30 638 138
96 30 650 122
97 30 635 113
97 30 657 125
905 30 726.4 70.8
0 31 675 78
1 31 677 79
4 31 679 79
58 31 663.28 127.28
886 31 741 74
886 31 738 75
887 31 733 78
888 31 736 75
888 31 732 79
0 32 672.4 57.6
2 32 671 60
2 32 674 58
2 32 669 59
2 32 668.8 57.6
3 32 668.8 58.8
10 32 660 77
0 33 673.6 45.6
4 33 681 36
5 33 682 33
6 33 672 50
6 33 666.4 62.4
7 33 673.6 46.8
8 33 664 66
0 34 667.6 66
2 34 665 64
2 34 664.72 64.8
3 34 665 68
3 34 665.2 61.2
5 34 661.84 64.8
6 34 663.28 61.92
84 34 666.4 113.6
0 35 667.6 62.4
3 35 664.72 121.52
12 35 658 78
63 35 628.4 131.6
64 35 628.4 124.4
65 35 627.2 124.4
90 35 650 134
90 35 650 122
91 35 653 134
900 35 730 72
901 35 730 68.4
0 36 668.8 49.2
2 36 670.48 48.96
3 36 679.6 38.4
3 36 677.2 46.8
0 37 676 68.4
1 37 676 69
1 37 676 67.2
2 37 676 72
3 37 676 72
3 37 673.6 68.4
4 37 677.2 69.6
889 37 737 74
889 37 740 74
0 38 667.6 42
5 38 666.4 57.6
6 38 664 61.2
7 38 667.6 53.28
67 38 623.36 120.08
68 38 620.48 121.52
85 38 666.4 112.4
86 38 653.2 120.8
87 38 656.8 116
88 38 656.8 118.4
171 38 624.8 127.28
0 39 678.4 61.2
5 39 674.8 64.8
6 39 676.24 63.36
6 39 680.56 63.36
105 39 629 125
887 39 741 66
889 39 748 70
890 39 748 68
0 40 664 46.8
2 40 668.8 45.6
79 40 658 118.4
0 41 677.68 47.52
2 41 677 66
3 41 680.56 54.72
3 41 677.68 63.36
4 41 682 47.52
4 41 682 51.84
5 41 676 50
5 41 680 77
5 41 681 72
5 41 677.2 51.6
6 41 680.8 69.6
6 41 678.4 49.2
7 41 680 47
7 41 682 67.2
8 41 669.04 60.48
9 41 666.16 63.36
15 41 663 77
18 41 666.4 69.6
20 41 671 70
20 41 673.6 64.8
66 41 660.4 128.72
67 41 658.96 127.28
90 41 664 114.8
91 41 667.6 114.8
113 41 628 124
896 41 733 68
898 41 733 69
898 41 746.8 47.52
